2025-02-25 22:50:00,188 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 22:50:05,532 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 22:50:09,525 - INFO - Всего обработано писем: 2, Успешно отправлено: 2, Ошибок: 0
2025-02-25 22:51:18,694 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 22:51:25,337 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 22:51:27,384 - INFO - Всего обработано писем: 2, Успешно отправлено: 2, Ошибок: 0
 2025-02-25 23:08:28,030 - INFO - Фоновая отправка email запущена
2025-02-25 23:08:29,368 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 23:08:31,876 - INFO - Отправлена пачка: 1 писем, Успешно: 1, Ошибки: 0
2025-02-25 23:08:34,887 - INFO - Всего обработано писем: 2, Успешно отправлено: 2, Ошибок: 0
